iter	RMSE
0	5.774821236
1	5.515459101
2	5.277798564
3	5.070878523
4	4.872858114
5	4.66787957
6	4.480033938
7	4.322236897
8	4.155582344
9	4.016231597
10	3.851858309
11	3.716827141
12	3.551205
13	3.353059349
14	3.217663216
15	3.072528491
16	2.977925111
17	2.872718041
18	2.75321856
19	2.66321846
20	2.538925859
21	2.450059437
22	2.323924895
23	2.240283527
24	2.159452459
25	2.087377236
26	2.012835088
27	1.937241895
28	1.879664468
29	1.812252215
30	1.750818133
31	1.686256513
32	1.629585666
33	1.55983674
34	1.501267715
35	1.454469866
36	1.402350887
37	1.353282742
38	1.299911747
39	1.265830656
40	1.224752128
41	1.168888303
42	1.133269349
43	1.091145168
44	1.056389832
45	1.028165656
46	0.9885767174
47	0.9552288852
48	0.9259769212
49	0.9004744063
50	0.8701777997
51	0.848216577
52	0.8259050938
53	0.8030362342
54	0.7738182779
55	0.7527199804
56	0.7216294644
57	0.7020327841
58	0.6832069336
59	0.6661328619
60	0.6419960271
61	0.6253650834
62	0.6012338692
63	0.5857839916
64	0.571105028
65	0.5568274021
66	0.5350798638
67	0.5213304891
68	0.5082972267
69	0.4955444128
70	0.4831558023
71	0.471081189
72	0.4592173954
73	0.4477369603
74	0.4365492071
75	0.4256354768
76	0.4149988045
77	0.4046238342
78	0.3945126791
79	0.384649862
80	0.3750382646
81	0.3656623078
82	0.35652075
83	0.3476077311
84	0.3389175377
85	0.3304495169
86	0.3221882788
87	0.3141335717
88	0.3062802323
89	0.2986232264
90	0.2911576456
91	0.2838787044
92	0.2767817367
93	0.2698621932
94	0.2631156382
95	0.2565377472
96	0.2501243034
97	0.2438711957
98	0.2377744157
99	0.2318300553
